spawn:307.5,97.5
size:24,16
settings:30.0;15.0;7.5;2.0
tile:4,8;120.0,240.0;-11468917;true;true
tile:5,8;150.0,240.0;-11468917;true;true
tile:6,8;180.0,240.0;230;true;false
tile:7,8;210.0,240.0;255;true;false
tile:8,8;240.0,240.0;230;true;false
tile:9,8;270.0,240.0;255;true;false
tile:10,8;300.0,240.0;230;true;false
tile:11,8;330.0,240.0;255;true;false
tile:12,8;360.0,240.0;230;true;false
tile:13,8;390.0,240.0;255;true;false
tile:14,8;420.0,240.0;-10184961;false;false
tile:15,8;450.0,240.0;-10184961;false;false
tile:16,8;480.0,240.0;-10184961;false;false
tile:17,8;510.0,240.0;-10184961;false;false
tile:18,8;540.0,240.0;-10184961;false;false
tile:19,8;570.0,240.0;-10184961;false;false
tile:20,8;600.0,240.0;-10184961;false;false
tile:21,8;630.0,240.0;-10184961;false;false
tile:22,8;660.0,240.0;-10184961;false;false
tile:23,8;690.0,240.0;-10184961;false;false
tile:0,9;0.0,270.0;-10184961;false;false
tile:1,9;30.0,270.0;-10184961;false;false
tile:2,9;60.0,270.0;-10184961;false;false
tile:3,9;90.0,270.0;-11468917;true;true
tile:4,9;120.0,270.0;-11468917;true;true
tile:5,9;150.0,270.0;-11468917;true;true
tile:6,9;180.0,270.0;255;true;false
tile:7,9;210.0,270.0;230;true;false
tile:8,9;240.0,270.0;255;true;false
tile:9,9;270.0,270.0;230;true;false
tile:10,9;300.0,270.0;255;true;false
tile:11,9;330.0,270.0;230;true;false
tile:12,9;360.0,270.0;255;true;false
tile:13,9;390.0,270.0;230;true;false
tile:14,9;420.0,270.0;-10184961;false;false
tile:15,9;450.0,270.0;-10184961;false;false
tile:16,9;480.0,270.0;-10184961;false;false
tile:17,9;510.0,270.0;-10184961;false;false
tile:18,9;540.0,270.0;-10184961;false;false
tile:19,9;570.0,270.0;-10184961;false;false
tile:20,9;600.0,270.0;-10184961;false;false
tile:21,9;630.0,270.0;-10184961;false;false
tile:22,9;660.0,270.0;-10184961;false;false
tile:23,9;690.0,270.0;-10184961;false;false
tile:0,10;0.0,300.0;-10184961;false;false
tile:1,10;30.0,300.0;-10184961;false;false
tile:2,10;60.0,300.0;-10184961;false;false
tile:3,10;90.0,300.0;-10184961;false;false
tile:4,10;120.0,300.0;-10184961;false;false
tile:5,10;150.0,300.0;-10184961;false;false
tile:6,10;180.0,300.0;230;true;false
tile:7,10;210.0,300.0;255;true;false
tile:8,10;240.0,300.0;230;true;false
tile:9,10;270.0,300.0;255;true;false
tile:10,10;300.0,300.0;230;true;false
tile:11,10;330.0,300.0;255;true;false
tile:12,10;360.0,300.0;230;true;false
tile:13,10;390.0,300.0;255;true;false
tile:14,10;420.0,300.0;-10184961;false;false
tile:15,10;450.0,300.0;-10184961;false;false
tile:16,10;480.0,300.0;-10184961;false;false
tile:17,10;510.0,300.0;-10184961;false;false
tile:18,10;540.0,300.0;-10184961;false;false
tile:19,10;570.0,300.0;-10184961;false;false
tile:20,10;600.0,300.0;-10184961;false;false
tile:21,10;630.0,300.0;-10184961;false;false
tile:22,10;660.0,300.0;-10184961;false;false
tile:23,10;690.0,300.0;-10184961;false;false
tile:0,11;0.0,330.0;-10184961;false;false
tile:1,11;30.0,330.0;-10184961;false;false
tile:2,11;60.0,330.0;-10184961;false;false
tile:3,11;90.0,330.0;-10184961;false;false
tile:4,11;120.0,330.0;-10184961;false;false
tile:5,11;150.0,330.0;-10184961;false;false
tile:6,11;180.0,330.0;-10184961;false;false
tile:7,11;210.0,330.0;230;true;false
tile:8,11;240.0,330.0;255;true;false
tile:9,11;270.0,330.0;230;true;false
tile:10,11;300.0,330.0;255;true;false
tile:11,11;330.0,330.0;230;true;false
tile:12,11;360.0,330.0;255;true;false
tile:13,11;390.0,330.0;-10184961;false;false
tile:14,11;420.0,330.0;-10184961;false;false
tile:15,11;450.0,330.0;-10184961;false;false
tile:16,11;480.0,330.0;-10184961;false;false
tile:17,11;510.0,330.0;-10184961;false;false
tile:18,11;540.0,330.0;-10184961;false;false
tile:19,11;570.0,330.0;-10184961;false;false
tile:20,11;600.0,330.0;-10184961;false;false
tile:21,11;630.0,330.0;-10184961;false;false
tile:22,11;660.0,330.0;-10184961;false;false
tile:23,11;690.0,330.0;-10184961;false;false
tile:0,12;0.0,360.0;-10184961;false;false
tile:1,12;30.0,360.0;-10184961;false;false
tile:2,12;60.0,360.0;-10184961;false;false
tile:3,12;90.0,360.0;-10184961;false;false
tile:4,12;120.0,360.0;-10184961;false;false
tile:5,12;150.0,360.0;-10184961;false;false
tile:6,12;180.0,360.0;-10184961;false;false
tile:7,12;210.0,360.0;-10184961;false;false
tile:8,12;240.0,360.0;230;true;false
tile:9,12;270.0,360.0;255;true;false
tile:10,12;300.0,360.0;230;true;false
tile:11,12;330.0,360.0;255;true;false
tile:12,12;360.0,360.0;-10184961;false;false
tile:13,12;390.0,360.0;-10184961;false;false
tile:14,12;420.0,360.0;-10184961;false;false
tile:15,12;450.0,360.0;-10184961;false;false
tile:16,12;480.0,360.0;-10184961;false;false
tile:17,12;510.0,360.0;-10184961;false;false
tile:18,12;540.0,360.0;-10184961;false;false
tile:19,12;570.0,360.0;-10184961;false;false
tile:20,12;600.0,360.0;-10184961;false;false
tile:21,12;630.0,360.0;-10184961;false;false
tile:22,12;660.0,360.0;-10184961;false;false
tile:23,12;690.0,360.0;-10184961;false;false
tile:0,13;0.0,390.0;-10184961;false;false
tile:1,13;30.0,390.0;-10184961;false;false
tile:2,13;60.0,390.0;-10184961;false;false
tile:3,13;90.0,390.0;-10184961;false;false
tile:4,13;120.0,390.0;-10184961;false;false
tile:5,13;150.0,390.0;-10184961;false;false
tile:6,13;180.0,390.0;-10184961;false;false
tile:7,13;210.0,390.0;-10184961;false;false
tile:8,13;240.0,390.0;-10184961;false;false
tile:9,13;270.0,390.0;-10184961;false;false
tile:10,13;300.0,390.0;-10184961;false;false
tile:11,13;330.0,390.0;-10184961;false;false
tile:12,13;360.0,390.0;-10184961;false;false
tile:13,13;390.0,390.0;-10184961;false;false
tile:14,13;420.0,390.0;-10184961;false;false
tile:15,13;450.0,390.0;-10184961;false;false
tile:16,13;480.0,390.0;-10184961;false;false
tile:17,13;510.0,390.0;-10184961;false;false
tile:18,13;540.0,390.0;-10184961;false;false
tile:19,13;570.0,390.0;-10184961;false;false
tile:20,13;600.0,390.0;-10184961;false;false
tile:21,13;630.0,390.0;-10184961;false;false
tile:22,13;660.0,390.0;-10184961;false;false
tile:23,13;690.0,390.0;-10184961;false;false
tile:0,14;0.0,420.0;-10184961;false;false
tile:1,14;30.0,420.0;-10184961;false;false
tile:2,14;60.0,420.0;-10184961;false;false
tile:3,14;90.0,420.0;-10184961;false;false
tile:4,14;120.0,420.0;-10184961;false;false
tile:5,14;150.0,420.0;-10184961;false;false
tile:6,14;180.0,420.0;-10184961;false;false
tile:7,14;210.0,420.0;-10184961;false;false
tile:8,14;240.0,420.0;-10184961;false;false
tile:9,14;270.0,420.0;-10184961;false;false
tile:10,14;300.0,420.0;-10184961;false;false
tile:11,14;330.0,420.0;-10184961;false;false
tile:12,14;360.0,420.0;-10184961;false;false
tile:13,14;390.0,420.0;-10184961;false;false
tile:14,14;420.0,420.0;-10184961;false;false
tile:15,14;450.0,420.0;-10184961;false;false
tile:16,14;480.0,420.0;-10184961;false;false
tile:17,14;510.0,420.0;-10184961;false;false
tile:18,14;540.0,420.0;-10184961;false;false
tile:19,14;570.0,420.0;-10184961;false;false
tile:20,14;600.0,420.0;-10184961;false;false
tile:21,14;630.0,420.0;-10184961;false;false
tile:22,14;660.0,420.0;-10184961;false;false
tile:23,14;690.0,420.0;-10184961;false;false
tile:0,15;0.0,450.0;-10184961;false;false
tile:1,15;30.0,450.0;-10184961;false;false
tile:2,15;60.0,450.0;-10184961;false;false
tile:3,15;90.0,450.0;-10184961;false;false
tile:4,15;120.0,450.0;-10184961;false;false
tile:5,15;150.0,450.0;-10184961;false;false
tile:6,15;180.0,450.0;-10184961;false;false
tile:7,15;210.0,450.0;-10184961;false;false
tile:8,15;240.0,450.0;-10184961;false;false
tile:9,15;270.0,450.0;-10184961;false;false
tile:10,15;300.0,450.0;-10184961;false;false
tile:11,15;330.0,450.0;-10184961;false;false
tile:12,15;360.0,450.0;-10184961;false;false
tile:13,15;390.0,450.0;-10184961;false;false
tile:14,15;420.0,450.0;-10184961;false;false
tile:15,15;450.0,450.0;-10184961;false;false
tile:16,15;480.0,450.0;-10184961;false;false
tile:17,15;510.0,450.0;-10184961;false;false
tile:18,15;540.0,450.0;-10184961;false;false
tile:19,15;570.0,450.0;-10184961;false;false
tile:20,15;600.0,450.0;-10184961;false;false
tile:21,15;630.0,450.0;-10184961;false;false
tile:22,15;660.0,450.0;-10184961;false;false
tile:23,15;690.0,450.0;-10184961;false;false
coin:301.0,180.0
coin:301.0,180.0
coin:301.0,180.0
coin:301.0,180.0
coin:301.0,180.0
coin:301.0,180.0
coin:301.0,180.0
coin:390.0,269.0
coin:390.0,269.0
coin:390.0,269.0
coin:390.0,269.0
coin:390.0,269.0
coin:390.0,269.0
coin:301.0,359.0
coin:301.0,359.0
coin:301.0,359.0
coin:301.0,359.0
coin:301.0,359.0
spinner:300.0,270.0;28.0;4.0;4.0
